City_ID,City,Country,Lat,Lng,Max Temp,current Description,Hotel Name
1257,Goiatuba,BR,-18.0125,-49.3547,80.04,overcast clouds,Hotel Barrocos
1261,Shimoda,JP,34.6667,138.95,77.11,few clouds,Shimoda Tokyu Hotel
1265,Tevaitoa,PF,-16.7833,-151.5,78.71,scattered clouds,Hôtel Raiatea Lodge
1289,Bathsheba,BB,13.2167,-59.5167,84.56,light rain,Atlantis Hotel
1295,Bahile,PH,9.9995,118.7878,78.42,scattered clouds,Nitivos Beach Resort
1299,Bend,US,44.0582,-121.3153,80.6,clear sky,Fairfield Inn & Suites by Marriott Bend Downtown
1303,Kropotkin,RU,45.4375,40.5756,78.8,broken clouds,Hotel Europe Kropotkin
1311,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.41,broken clouds,Crôa Mares Hotel
1313,Manta,EC,-0.95,-80.7333,77.65,overcast clouds,Balandra Hotel
1335,Mao,ES,39.8885,4.2658,79.36,few clouds,ARTIEM Capri
1349,Puerto Carreno,CO,6.189,-67.4859,81.68,broken clouds,Casa Hotel Victoria
