City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,current Description
75,Suoyarvi,RU,62.0833,32.35,56.46,68,75,2.73,broken clouds
,,,,,,,,,
76,Cabo San Lucas,MX,22.8909,-109.9124,91.51,60,40,5.01,scattered clouds
,,,,,,,,,
77,Lebu,CL,-37.6167,-73.65,55.99,70,94,13.82,overcast clouds
,,,,,,,,,
78,Tsagan Aman,RU,47.5639,46.7218,80.29,28,37,10.47,scattered clouds
,,,,,,,,,
79,Provideniya,RU,64.3833,-173.3,49.5,81,98,8.59,overcast clouds
,,,,,,,,,
80,Lompoc,US,34.6391,-120.4579,81.21,76,1,12.66,mist
,,,,,,,,,
81,Komsomolskiy,UZ,40.4272,71.7189,81.82,31,84,3.06,broken clouds
,,,,,,,,,
82,Dikson,RU,73.5069,80.5464,53.06,84,1,2.86,clear sky
,,,,,,,,,
83,Leningradskiy,RU,69.3833,178.4167,38.84,97,79,3.98,broken clouds
,,,,,,,,,
84,Taltal,CL,-25.4,-70.4833,64,62,2,4.32,clear sky
,,,,,,,,,
85,Ponta Do Sol,PT,32.6667,-17.1,77.63,84,11,0.94,few clouds
,,,,,,,,,
86,Longyearbyen,SJ,78.2186,15.6401,44.44,81,75,14.97,broken clouds
,,,,,,,,,
87,Pisco,PE,-13.7,-76.2167,66.25,72,0,9.22,clear sky
,,,,,,,,,
88,Chitral,PK,35.8462,71.7858,75.07,55,67,2.62,broken clouds
,,,,,,,,,
89,Fortuna,US,40.5982,-124.1573,70.41,71,90,1.01,overcast clouds
,,,,,,,,,
90,Port Hedland,AU,-20.3167,118.5667,62.65,34,80,11.5,broken clouds
,,,,,,,,,
91,Taoudenni,ML,22.6783,-3.9836,116.35,6,1,10.89,clear sky
,,,,,,,,,
92,Luxor,EG,25.6989,32.6421,99.97,10,0,8.99,clear sky
,,,,,,,,,
93,Mitsamiouli,KM,-11.3847,43.2844,76.5,72,23,4.74,few clouds
,,,,,,,,,
94,Blagoyevo,RU,63.3667,47.9167,52.14,76,94,3.47,overcast clouds
,,,,,,,,,
95,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,89,20,17.27,few clouds
,,,,,,,,,
96,Hukuntsi,BW,-24,21.75,65.19,26,3,10.11,clear sky
,,,,,,,,,
97,Saint George,US,37.1041,-113.5841,104.47,15,1,3,clear sky
,,,,,,,,,
98,Falam,MM,22.9167,93.6833,64,99,98,1.32,overcast clouds
,,,,,,,,,
99,Pagudpud,PH,18.5616,120.7868,79.99,88,100,17.47,light rain
,,,,,,,,,
100,Christchurch,NZ,-43.5333,172.6333,47.91,91,90,1.99,moderate rain
,,,,,,,,,
101,Goderich,CA,43.7501,-81.7165,85.03,66,0,7.56,clear sky
,,,,,,,,,
102,Mahebourg,MU,-20.4081,57.7,69.26,69,89,15.37,overcast clouds
,,,,,,,,,
103,Sawtell,AU,-30.3833,153.1,53.62,66,0,10.36,clear sky
,,,,,,,,,
104,Conceicao Do Mato Dentro,BR,-19.0372,-43.425,75.45,36,82,12.62,broken clouds
,,,,,,,,,
105,Cape Town,ZA,-33.9258,18.4232,59.27,85,1,1.99,clear sky
,,,,,,,,,
106,Nemuro,JP,43.3236,145.575,68.41,96,97,3.27,overcast clouds
,,,,,,,,,
107,Iskateley,RU,67.6803,53.1512,54.48,78,100,5.99,overcast clouds
,,,,,,,,,
108,Shelburne,CA,44.0787,-80.2041,81.9,18,0,6.6,clear sky
,,,,,,,,,
109,Tiksi,RU,71.6872,128.8694,40.44,89,69,8.93,broken clouds
,,,,,,,,,
110,Mar Del Plata,AR,-38.0023,-57.5575,57.09,60,0,10,clear sky
,,,,,,,,,
111,Acapulco,MX,16.8634,-99.8901,85.82,70,75,5.75,broken clouds
,,,,,,,,,
112,Tuktoyaktuk,CA,69.4541,-133.0374,56.14,59,99,10.54,overcast clouds
,,,,,,,,,
113,Salinas,US,36.6777,-121.6555,76.55,72,20,11.5,few clouds
,,,,,,,,,
114,Dingle,PH,10.9995,122.6711,77.2,88,79,6.78,broken clouds
,,,,,,,,,
115,Alofi,NU,-19.0595,-169.9187,73.29,63,87,6.51,overcast clouds
,,,,,,,,,
116,Poum,NC,-20.2333,164.0167,70.16,68,82,20.42,broken clouds
,,,,,,,,,
117,San Cristobal,VE,7.7669,-72.225,80.78,53,62,8.84,broken clouds
,,,,,,,,,
118,Monrovia,LR,6.3005,-10.7969,80.37,77,99,14.41,light rain
,,,,,,,,,
119,Namatanai,PG,-3.6667,152.4333,78.71,85,79,6.55,light rain
,,,,,,,,,
120,Gusinoye Ozero,RU,51.1144,106.2614,62.83,71,46,4.74,scattered clouds
,,,,,,,,,
121,Ilulissat,GL,69.2167,-51.1,59.02,38,75,20.71,broken clouds
,,,,,,,,,
122,Beringovskiy,RU,63.05,179.3167,46.74,93,32,6.33,scattered clouds
,,,,,,,,,
123,Mount Gambier,AU,-37.8333,140.7667,51.53,71,92,9.31,overcast clouds
,,,,,,,,,
124,Paamiut,GL,61.994,-49.6678,44.98,95,100,33.73,light rain
,,,,,,,,,
125,Yellowknife,CA,62.456,-114.3525,60.3,58,98,5.5,overcast clouds
,,,,,,,,,
126,Sarakhs,IR,36.5449,61.1577,89.38,15,2,12.21,clear sky
,,,,,,,,,
127,Natal,BR,-5.795,-35.2094,81.25,65,40,11.5,scattered clouds
,,,,,,,,,
128,Horsham,GB,51.064,-0.3272,64.06,93,75,9.22,broken clouds
,,,,,,,,,
129,Kumluca,TR,36.3703,30.2869,89.73,48,1,3,clear sky
,,,,,,,,,
130,Dire,ML,12.2833,-10.9667,82.9,80,66,1.23,light rain
,,,,,,,,,
131,Kavaratti,IN,10.5669,72.642,82.36,81,100,17.56,overcast clouds
,,,,,,,,,
132,Vardo,NO,70.3705,31.1107,55.6,87,0,5.75,clear sky
,,,,,,,,,
133,Adre,TD,13.4667,22.2,76.28,75,48,17.81,scattered clouds
,,,,,,,,,
134,Yumen,CN,40.2833,97.2,76.32,16,95,7.76,overcast clouds
,,,,,,,,,
135,Beloslav,BG,43.1833,27.7,82.18,94,40,1.99,scattered clouds
,,,,,,,,,
136,Margate,GB,51.3813,1.3862,65.91,81,71,5.99,moderate rain
,,,,,,,,,
137,Sabang,ID,5.8933,95.3214,83.55,75,99,21.05,overcast clouds
,,,,,,,,,
138,Kodiak,US,57.79,-152.4072,56.71,82,90,0,overcast clouds
,,,,,,,,,
139,Toyokawa,JP,34.8167,137.4,84.16,85,75,1.99,broken clouds
,,,,,,,,,
140,Bowmore,US,34.9421,-79.3031,85.75,55,40,3,scattered clouds
,,,,,,,,,
141,Kanker,IN,20.2719,81.4931,76.14,87,100,5.7,overcast clouds
,,,,,,,,,
142,Whitehorse,CA,60.7161,-135.0538,62.31,82,100,10,light rain
,,,,,,,,,
143,Okahandja,NA,-21.9833,16.9167,65.84,20,3,8.77,clear sky
,,,,,,,,,
144,Shieli,KZ,44.1667,66.75,84.33,26,11,4.7,few clouds
,,,,,,,,,
145,Carutapera,BR,-1.195,-46.02,85.21,63,43,9.55,scattered clouds
,,,,,,,,,
146,Pemberton,CA,50.3164,-122.8027,84.43,35,28,4.07,scattered clouds
,,,,,,,,,
147,Diu,IN,20.7141,70.9822,82.04,79,100,14.83,overcast clouds
,,,,,,,,,
148,Naze,JP,28.3667,129.4833,77.94,92,100,18.86,overcast clouds
,,,,,,,,,
149,Micomeseng,GQ,2.1462,10.6164,69.17,98,73,4.29,light rain
,,,,,,,,,
150,Moussoro,TD,13.6408,16.4901,91.89,44,72,12.35,broken clouds
,,,,,,,,,
151,Berlevag,NO,70.8578,29.0864,53.6,83,83,5.41,broken clouds
,,,,,,,,,
152,Singarayakonda,IN,15.25,80.0333,89.47,53,100,16.67,overcast clouds
,,,,,,,,,
153,Flin Flon,CA,54.7682,-101.865,72.07,29,73,1.81,broken clouds
,,,,,,,,,
154,Hofn,IS,64.2539,-15.2082,52.9,89,98,6.58,overcast clouds
,,,,,,,,,
155,San Ramon,US,37.7799,-121.978,77.09,74,20,3,few clouds
,,,,,,,,,
156,Ancud,CL,-41.8697,-73.8203,53.42,93,100,11.07,moderate rain
,,,,,,,,,
157,Russell,US,32.3502,-85.1999,87.91,57,40,5.75,scattered clouds
,,,,,,,,,
158,Ilhabela,BR,-23.7781,-45.3581,68.41,71,41,7,scattered clouds
,,,,,,,,,
159,Mweka,CD,-4.85,21.5667,80.31,26,1,0.34,clear sky
,,,,,,,,,
160,Jiwani,PK,25.05,61.7417,82.45,85,5,2.59,clear sky
,,,,,,,,,
161,Zeya,RU,53.75,127.2667,57.58,98,100,5.01,overcast clouds
,,,,,,,,,
162,Nchelenge,ZM,-9.3451,28.734,70.68,51,0,4.36,clear sky
,,,,,,,,,
163,Kapaa,US,22.0752,-159.319,80.92,75,20,5.01,light rain
,,,,,,,,,
164,Tuatapere,NZ,-46.1333,167.6833,34.83,90,20,4.14,few clouds
,,,,,,,,,
165,Marsa Matruh,EG,31.3525,27.2453,84.45,67,0,14.74,clear sky
,,,,,,,,,
166,Surab,PK,28.4914,66.2585,80.22,14,0,11.36,clear sky
,,,,,,,,,
167,Pevek,RU,69.7008,170.3133,36.9,98,69,6.06,broken clouds
,,,,,,,,,
